AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"26322","1","J24","microSD Memory Card Connector with Detec","microSD Memory Card Connector with Detect Switch","microSD","","104031-0811","01","P001","Yes","SMT","","","","","","104031-0811"
"34532","1","J25","USB 2.0 Type C","2171790001","USB 2.0 Type C","","2171790001","01","P001","","SMT","","","","","30 V AC/DC","2171790001"
"20996","1","JP1","JUMPER-2.54 ","Jumper 2,54mm Raster, Schwarz offen","","","","01","P001","","MECH","","","","","","149-1-002-F0-XS"
"30910","16","L1, L2, L12, L18, L19, L20, L21, L22, L23, L24, L25, L26, L27, L29, L30, L31","MPZ0603S121HT000","MPZ0603S121HT000","0603 (0201)","120 Ohm","INDC0603X33N_V","01","P001","Yes","SMT","Yes","130 mOhm","25%","","1A","MPZ0603S121HT000"
"24514","5","L3, L13, L14, L15, L28","67Ohms@100MHz","CMC 0.067kOhms@100MHz 0.32A 240mOhm 50V SMD 2.00mm x 1.20mm","2.00mm x 1.20mm","","WE-CNSW-HF","01","P001","Yes","SMT","Yes","240mOhm","","","0.32A","744233670"
"32621","5","L4, L42, L43, L44, L45","BLM18KG300TH1D","Ferrite Bead 10 mOhm@DC, 30 Ohm@100 MHz, 5A 1608 (0603)","1608 (0603)","30 Ohm","INDC1608X95N_V","01","P001","","SMT","","10 mOhm","25%","","5A","BLM18KG300TH1D"
"31679","2","L5, L6","BLE18PS080SN1","Ferrite Bead 4 mOhm@DC, 8.5 Ohm@100 MHz, 8A 1608 (0603)","1608 (0603)","8.5 Ohm","INDC1608X75N_V","01","P001","","SMT","","4 mOhm","20%","","8A","BLE18PS080SN1"
"27788","6","L7, L8, L9, L10, L11, L16","BLM15PX121SN1D","Ferrite Bead 20 mOhm@DC, 120 Ohm@100 MHz, 2A 0402 (1005)","1005 (0402)","120 Ohm","INDC1005X55N_V","01","P001","","SMT","","20 mOhm","25%","","2A","BLM15PX121SN1D"
"26352","6","MECH1, MECH8, MECH9, MECH10, MECH11, MECH12","Screw M2x6","Schraube M2 6mm","","","","01","P001","","MECH","","","","","","01.17.122"
"29981","4","MP3, MP4, MP5, MP6","D01464","Abstandhalter Einrasthalter für 3,2 mm PCB-Loch 6 mm hoch","","","","01","P001","","MECH","","","","","","D01464"
"27037","6","PM1, PM2, PM3, PM4, PM5, PM6","FIDU-DOT - mini","FIDU-DOT - MINI 0.5mm","","","FIDU-DOT - mini","01","P001","","FIDU","Yes","","","","",""
"34073","1","R1","2R7","WID SMD 2R7 1% 0,063W  BF 1005 (0402)","1005 (0402)","2.7","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"22507","4","R2, R9, R19, R32","100R","WID SMD 100R 1% 0,063W  BF 1005 (0402)","1005 (0402)","100","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"22738","18","R3, R4, R50, R68, R69, R85, R119, R141, R143, R150, R154, R189, R219, R220, R221, R244, R308, R309","0R","WID SMD 0R  BF 1005 (0402)","1005 (0402)","0","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","",""
"24914","47","R5, R12, R16, R23, R36, R66, R71, R77, R79, R80, R82, R95, R99, R118, R130, R151, R152, R155, R157, R159, R160, R161, R164, R167, R168, R188, R194, R218, R238, R251, R262, R264, R265, R270, R271, R288, R291, R292, R304, R307, R327, R328, R329, R330, R331, R343, R387","10K","WID SMD 10K 1% 0,05W BF 0603 (0201)","0603 (0201)","10K","RESC0603X26N_V","01","P001","","SMT","Yes","TK100","1%","","","RC0201FR-0710KL"
"22752","14","R6, R41, R67, R91, R135, R148, R153, R184, R195, R210, R227, R255, R266, R267","1K","WID SMD 1K 1% 0,063W  BF 1005 (0402)","1005 (0402)","1K","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"22757","3","R7, R8, R122","1M","WID SMD 1M 5% 0,25W  BF 3216 (1206)","3216 (1206)","1M","RESC3216X65N_V","01","P001","","SMT","Yes","TK100","5%","","",""
"24466","3","R10, R48, R87","51K","WID SMD 51K 1% 0,063W  BF 1005 (0402)","1005 (0402)","51K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"28770","6","R11, R33, R57, R60, R61, R62","30K","WID SMD 30K 1% 0,063W  BF 1005 (0402)","1005 (0402)","30K","RESC1005X40N_V","01","P001","","SMT","","TK100","1%","","0.063W",""
"22844","17","R13, R20, R25, R29, R30, R31, R37, R38, R51, R144, R176, R222, R234, R242, R243, R245, R300","10R","WID SMD 10R 1% 0,063W  BF 1005 (0402)","1005 (0402)","10","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W",""
"23661","10","R14, R24, R142, R149, R162, R211, R214, R216, R277, R280","240R","WID SMD 240R 1% 0,063W BF 1005 (0402)","1005 (0402)","240","RESC1005X40N_V","01","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-07240RL"
