AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART,Temperature-Range,Storage-Temperature
"34117","1","R45","3K4","WID SMD 3K4 1% 0,063W BF 1005 (0402)","1005 (0402)","3.4K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","-55/+155 (Abs)",""
"24914","4","R46, R49, R62, R63","10K","WID SMD 10K 1% 0,05W BF 0603 (0201)","0603 (0201)","10K","RESC0603X26N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","","RC0201FR-0710KL","",""
"23661","2","R47, R52","240R","WID SMD 240R 1% 0,063W BF 1005 (0402)","1005 (0402)","240","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-07240RL","",""
"34118","1","R54","8K66","WID SMD 8K66 1% 0,063W BF 1005 (0402)","1005 (0402)","8.66K","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","-55/+155 (Abs)",""
"26020","1","R57","910R","WID SMD 910R 1% 0,063W BF 1005 (0402)","1005 (0402)","910","RESC1005X40N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","0.063W","","",""
"25242","1","R60","4K7","WID SMD 4K7 1% 0,05W  BF 0603 (0201)","0603 (0201)","4.7K","RESC0603X26N_V","01","MDE-2-A","","SMT","Yes","TK100","1%","","","RC0201FR-074K7L","",""
"28549","2","S1, S2","KMS221GPLFS","KMS221GPLFS","","0.05A","KMS2xxGPLFS","01","MDE-2-A","","SMT","","SPST","","","32V","KMS221GPLFS","-40/+85","-55/+85"
"23416","1","S3","CHS-02TA","CHS-02TA","","100mA","CHS-02TA","01","MDE-2-A","Yes","SMT","","SPST","","","6V DC","CHS-02TA","-40/+85 (Abs)",""
"28041","2","T1, T3","AON2803","AON2803","DFN6","-3.8A","SON65P200X200X80-8T10X06","01","MDE-2-A","","SMT","","","","","-20V","AON2803","-55/+150 (Tj abs)",""
"32212","2","T2, T4","BSD840NH6327XTSA1","BSD840NH6327XTSA1","SC70-6","0.88A","SOT65P210X110-6N","01","MDE-2-A","","SMT","","","","","20V","BSD840NH6327XTSA1","-55/+150 (Tj abs)","-55/+150 (Tj abs)"
