AN,Quantity,Designator,Comment,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
"31370","30","C24, C228, C454, C456, C460, C461, C462, C485, C501, C504, C508, C509, C519, C520, C523, C531, C532, C535, C539, C540, C545, C546, C547, C548, C557, C558, C559, C560, C561, C624","1uF","KON 1uF 4V X6S 20% SMD BF 0603 (0201)","0603 (0201)","1u","CAPC0603X33N_V","03","P001","","SMT","","X6S","20%","","4V",""
"29286","2","L21, L31","1.2µH","XEL4030-122MEC","","1.2u","XEL4030-122","03","P001","","SMT","","Composite","20%","","9.8A","XEL4030-122MEC"
"26021","1","R66","1K82","WID SMD 1K82 1% 0,063W","1005 (0402)","1.82K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"25073","17","R2, R106, R107, R109, R110, R175, R183, R197, R198, R203, R206, R215, R231, R267, R349, R350, R351","2K","WID SMD 2K 1% 0,063W  BF 1005 (0402)","1005 (0402)","2K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-072KL"
"30286","1","R65","2R2","WID SMD 2R2 1% 0,063W BF 1005 (0402)","1005 (0402)","2.2","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"28951","2","L51, L57","2.2µH","IND SMD 2.2µH 1.2A, 145 mOhm 0806","2016 (0806)","2.2u","INDC2016X100L50N_V","03","P001","","SMT","","0.145Ohm","±20%","","1.2A","SRN2010TA-2R2M"
"30983","33","C180, C191, C192, C194, C200, C222, C259, C260, C262, C288, C316, C426, C427, C430, C434, C435, C592, C593, C594, C595, C616, C618, C619, C626, C629, C632, C633, C634, C635, C636, C637, C645, C650","2.2µF","KON 2,2µF 25V X5R 10% SMD BF 1005 (0402)","1005 (0402)","2.2u","CAPC1005X55N_V","03","P001","","SMT","","X5R","10%","","25V",""
"24878","4","R67, R74, R187, R202","3K01","WID SMD 3K01 1% 0,063W BF 1005 (0402)","1005 (0402)","3.01K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"27581","4","R44, R45, R54, R56","3M16","WID SMD 3M16 1% 0,063W BF 1005 (0402)","1005 (0402)","3.16M","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"23161","2","R39, R53","4K53","WID SMD 4K53 1% 0,063W  BF 1005 (0402)","1005 (0402)","4.53K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"25242","40","R62, R63, R127, R128, R153, R165, R225, R246, R247, R248, R249, R250, R251, R252, R253, R254, R256, R257, R268, R278, R282, R285, R286, R287, R298, R299, R301, R305, R306, R352, R353, R354, R355, R356, R357, R358, R359, R383, R385, R386","4K7","WID SMD 4K7 1% 0,05W  BF 0603 (0201)","0603 (0201)","4.7K","RESC0603X26N_V","03","P001","","SMT","Yes","TK100","1%","","","RC0201FR-074K7L"
"30632","4","L14, L15, L26, L27","4.7µH","IND SMD 4.7µH 1.4A 216mOhm","2520(1008)","4.7u","INDC2520X100N","03","P001","","SMT","","216mOhm","20%","","1.4A","CIGW252010GL4R7MNE"
"31479","44","C4, C16, C29, C30, C35, C36, C42, C43, C142, C143, C193, C223, C224, C240, C251, C286, C295, C301, C309, C328, C336, C357, C359, C469, C470, C475, C476, C482, C483, C494, C495, C503, C505, C506, C510, C511, C524, C525, C527, C528, C529, C530, C536, C537","4.7uF","KON 4.7uF 6.3V X5R 20% SMD BF 0603 (0201)","0603 (0201)","4.7u","CAPC0603X33N_V","03","P001","","SMT","","X5R","20%","","6.3V",""
"32667","1","F2","PTC 5 A 24 V","PTC Resettable Fuse 5 A 24 V SMD 2920","7351 (2920)","5 A","FUSC7351X120L140N","03","P001","","SMT","","","","","24 V DC","2920L500/24SL"
"33899","1","J29","Power Jack 2.5 mm 90° SMD","Power Jack, 2.5 mm 90° SMD","Power Jack","5 A","PJ-002BH-SMT-TR","03","P001","Yes","SMT","","","","","24 V DC","PJ-002BH-SMT-TR"
"33750","1","U43","AP22980FCF10-7","AP22980FCF10-7, PWR Switch","WFQFN10","6 A","AP22980","03","P001","","SMT","","","","","","AP22980FCF10-7"
"33792","2","U46, U50","LTC3304ARUCM","LTC3304ARUCM#TRPBF","FCQFN","6 A","LTC3304","03","P001","Yes","SMT","","","","","","LTC3304ARUCM#TRPBF"
"33793","4","U26, U27, U28, U29","LT7182S","LT7182SRV#PBF","LQFN","6 A","LT7182S","03","P001","Yes","SMT","","","","","","LT7182SRV#PBF"
"33857","1","F1","PTC 7 A 24 V","PTC Resettable Fuse 7 A 24 V SMD 2920","7351 (2920)","7 A","FUSC7351X250L140N","03","P001","","SMT","","","","","24 V DC","2920L700/24SL"
"25052","1","R290","8K06","WID SMD 8K06 1% 0,063W BF 1005 (0402)","1005 (0402)","8.06K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"22844","17","R1, R37, R38, R49, R51, R81, R129, R150, R213, R224, R233, R237, R308, R309, R310, R394, R396","10R","WID SMD 10R 1% 0,063W  BF 1005 (0402)","1005 (0402)","10","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"24914","87","R5, R20, R25, R29, R30, R31, R36, R40, R52, R64, R82, R85, R88, R90, R96, R113, R114, R117, R123, R125, R126, R136, R137, R140, R146, R149, R151, R163, R167, R168, R193, R195, R199, R220, R244, R245, R260, R262, R264, R265, R270, R271, R284, R288, R289, R291, R292, R295, R296, R302, R303, R304, R307, R312, R313, R322, R323, R327, R328, R329, R330, R331, R332, R333, R334, R335, R338, R339, R340, R341, R343, R344, R345, R346, R347, R348, R365, R366, R368, R369, R370, R371, R373, R374, R387, R388, R391","10K","WID SMD 10K 1% 0,05W BF 0603 (0201)","0603 (0201)","10K","RESC0603X26N_V","03","P001","","SMT","Yes","TK100","1%","","","RC0201FR-0710KL"
"24705","3","C155, C157, C317","10nF","KON 10nF 50V X7R 10% SMD BF 1005 (0402)","1005 (0402)","10n","CAPC1005X55N_V","03","P001","","SMT","Yes","X7R","10%","","50V",""
"26312","19","C7, C8, C11, C12, C13, C28, C34, C38, C149, C177, C182, C393, C582, C583, C584, C585, C586, C587, C588","10nF","KON 10nF 10V X7R 10% SMD BF 0603 (0201)","0603 (0201)","10n","CAPC0603X33N_V","03","P001","","SMT","Yes","X7R","10%","","10V",""
"28557","4","C429, C436, C627, C646","10pF","KON 10pF 50V NP0 1% SMD BF 1005 (0402)","1005 (0402)","10p","CAPC1005X55N_V","03","P001","","SMT","","NP0","1%","","50V",""
"30683","93","C3, C14, C20, C25, C37, C56, C77, C91, C92, C99, C123, C127, C165, C171, C174, C176, C211, C248, C249, C250, C258, C281, C282, C283, C294, C300, C308, C362, C363, C364, C365, C366, C367, C374, C375, C392, C408, C409, C414, C415, C420, C422, C423, C447, C448, C449, C450, C451, C452, C453, C464, C465, C468, C471, C472, C477, C478, C479, C484, C489, C490, C491, C496, C497, C498, C502, C507, C512, C513, C514, C515, C516, C517, C518, C521, C522, C526, C533, C534, C538, C541, C542, C553, C554, C562, C563, C564, C565, C569, C570, C573, C574, C575","10µF","KON 10µF 10V X5R 20% SMD BF 1005 (0402)","1005 (0402)","10u","CAPC1005X55N_V","03","P001","","SMT","","X5R","20%","","10V",""
"22598","1","R222","12K","WID SMD 12K 1% 0,063W  BF 1005 (0402)","1005 (0402)","12K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"29137","1","U32","510CCA12M0000CAG","510CCA12M0000CAG","3.2 x 2.5 mm","12M","DFN320X250X110-4N","03","P001","","SMT","","","","","","510CCA12M0000CAG"
"29027","4","T1, T2, T3, T4","SI7106DN-T1-E3","SI7106DN-T1-E3","PowerPAK 1212-8","12.5A","Si7106","03","P001","","SMT","","","","","20V","SI7106DN-T1-E3"
"29714","2","R154, R158","18K2","WID SMD 18K2 1% 0,063W BF 1005 (0402)","1005 (0402)","18.2K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"30964","1","U55","BNX025H01L EMI-Filter","LC EMI Filter 5th Order Low Pass 2 Channel C = 10µF 20A 4-SMD, No Lead","SMD4","20A","BNX023-01B","03","P001","","SMT","","","","","25V","BNX025H01L"
"31148","2","R58, R73","21K","WID SMD 21K 1% 0,063W BF 1005 (0402)","1005 (0402)","21K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"29556","64","C153, C154, C156, C158, C160, C161, C164, C178, C196, C197, C199, C202, C203, C225, C226, C227, C229, C231, C232, C233, C236, C237, C241, C243, C244, C245, C246, C247, C255, C256, C264, C265, C269, C270, C273, C274, C278, C279, C290, C347, C349, C352, C354, C356, C358, C399, C410, C411, C417, C418, C425, C431, C432, C433, C552, C628, C640, C641, C642, C643, C644, C647, C648, C649","22µF","KON 22µF 25V  X5R 20% SMD BF 2012 (0805)","2012 (0805)","22u","CAPC2012X135N_V","03","P001","","SMT","","X5R","20%","","25V",""
"28435","2","S7, S10","TDA04H0SB1","TDA04H0SB1","","25 mA","TDA04H0SB1","03","P001","","SMT","","","","","24 V DC","TDA04H0SB1"
"29130","2","U35, U41","510CCA25M0000CAG","510CCA25M0000CAG","3.2 x 2.5 mm","25M","DFN320X250X110-4N","03","P001","","SMT","","","","","","510CCA25M0000CAG"
"29131","3","U51, U52, U53","510KCA25M0000CAG","510KCA25M0000CAG","3.2 x 2.5 mm","25M","DFN320X250X110-4N","03","P001","","SMT","","","","","","510KCA25M0000CAG"
"29662","1","Y1","LFXTAL055299REEL","Quarz Crystal 25.000Mhz 18pF 30ppm -40°C/+85°C","3225","25M","OSCCC320X250X80N","03","P001","","SMT","","","30ppm","","","LFXTAL055299REEL"
"32621","15","L4, L33, L34, L35, L36, L37, L38, L39, L40, L41, L42, L43, L44, L45, L46","30 Ohm@100 MHz","Ferrite Bead 10 mOhm@DC, 30 Ohm@100 MHz, 5A 1608 (0603)","1608 (0603)","30 Ohm","INDC1608X95N_V","03","P001","","SMT","","0.010 Ohm","25%","","5A","BLM18KG300TH1D"
"33791","1","U20","MAX20830AFE+","MAX20830AFE+, DCDC","FC2QFN","30A","MAX20830A","03","P001","Yes","SMT","","","","","","MAX20830AFE+"
"23849","2","R155, R159","30K1","WID SMD 30K1 1% 0,063W  BF 1005 (0402)","1005 (0402)","30.1K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"22770","10","R4, R41, R131, R132, R170, R173, R180, R191, R300, R379","33R","WID SMD 33R 1% 0,063W BF 1005 (0402)","1005 (0402)","33","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-0733RL"
"26471","2","R152, R382","33K","WID SMD 33K 1% 0,063W  BF 1005 (0402)","1005 (0402)","33K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"24871","2","R75, R103","36K5","WID SMD 36K5 1% 0,063W BF 1005 (0402)","1005 (0402)","36.5K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"29054","4","D5, D6, D7, D8","CPDA10R3V3U-HF","CPDA10R3V3U-HF","TSLP-9-1","39.2W","DFN230X100X55X10N","03","P001","","SMT","","","","","3.3/9.8V","CPDA10R3V3U-HF"
"33815","1","R139","43K2","WID SMD 43K2 1% 0,063W BF 1005 (0402)","1005 (0402)","43.2K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"32973","2","R72, R273","47K","WID SMD 47K 1% 0,05W BF 0603 (0201)","0603 (0201)","47K","RESC0603X26N_V","03","P001","","SMT","","TK100","1%","","",""
"24885","2","C147, C148","47pF","KON 47pF 50V NP0 5% SMD BF 1005 (0402)","1005 (0402)","47p","CAPC1005X55N_V","03","P001","","SMT","Yes","NP0","5%","","50V",""
"26515","18","C26, C27, C112, C113, C298, C299, C305, C306, C307, C313, C314, C315, C390, C391, C401, C402, C403, C404","47µF","KON 47µF 10V  X5R 20% SMD BF 2012 (0805)","2012 (0805)","47u","CAPC2012X135N_V","03","P001","","SMT","","X5R","","","10V",""
"28311","30","C124, C125, C126, C382, C383, C384, C385, C386, C387, C441, C442, C443, C444, C445, C446, C473, C474, C480, C481, C492, C493, C499, C500, C543, C544, C555, C556, C622, C623, C625","47µF","KON 47µF 6,3V X5R ±20%  SMD BF 1608 (0603)","1608 (0603)","47u","CAPC1608X90N_V","03","P001","","SMT","","X5R","20%","","6.3V",""
"33798","7","R47, R55, R59, R89, R102, R115, R204","51K1","WID SMD 51K1 1% 0,063W  BF 1005 (0402)","1005 (0402)","51.1K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W","WR04X5112FTL"
"22506","4","R176, R178, R192, R200","56K","WID SMD 56K 1% 0,063W  BF 1005 (0402)","1005 (0402)","56K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"25162","2","R116, R148","80K6","WID SMD 80K6 1% 0,063W BF 1005 (0402)","1005 (0402)","80.6K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W",""
"33794","1","R69","95R3","WID SMD 95R3 ±1%  0,063W BF 1005 (0402)","1005 (0402)","95.3","RESC1005X40N_V","03","P001","","SMT","","TK100","1% ","","0,063W",""
"22507","10","R68, R71, R166, R169, R171, R172, R174, R179, R189, R190","100R","WID SMD 100R 1% 0,063W  BF 1005 (0402)","1005 (0402)","100","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-13100RL"
"22558","7","R46, R57, R156, R157, R205, R239, R269","100K","WID SMD 100K 1% 0,063W  BF 1005 (0402)","1005 (0402)","100K","RESC1005X40N_V","03","P001","","SMT","Yes","TK100","1%","","0.063W","RC0402FR-13100KL"
"32520","86","C40, C41, C52, C53, C54, C55, C61, C62, C68, C74, C85, C86, C87, C88, C96, C114, C116, C119, C121, C181, C195, C198, C201, C204, C213, C214, C215, C216, C217, C218, C219, C220, C230, C234, C235, C242, C252, C257, C263, C266, C271, C272, C275, C280, C289, C291, C292, C318, C319, C320, C321, C322, C323, C324, C325, C326, C327, C388, C389, C400, C405, C406, C412, C419, C428, C455, C457, C566, C571, C572, C579, C589, C590, C591, C596, C597, C598, C599, C600, C601, C602, C603, C604, C605, C617, C651","100nF","KON 100nF 25V X5R ±10% SMD BF 0603 (0201)","0603 (0201)","100n","CAPC0603X33N_V","03","P001","","SMT","Yes","X5R","10%","","25V",""
"22679","4","C15, C19, C139, C652","100pF","KON 100pF 1000V X7R 10%  BF 3216 (1206)","3216 (1206)","100p","CAPC3216X180N_V","03","P001","","SMT","Yes","X7R","10%","","1000V",""
"28940","30","C183, C184, C185, C186, C187, C188, C189, C190, C205, C206, C253, C254, C267, C268, C276, C277, C368, C369, C370, C371, C372, C373, C376, C377, C378, C379, C413, C416, C567, C568","100µF","KON 100µF 4V X5R 20% SMD BF 2012 (0805)","2012 (0805)","100u","CAPC2012X135N_V","03","P001","","SMT","","X5R","20%","","4V","GRM21BR60G107ME15L"
"33797","2","R104, R138","107K","WID SMD 107K 1% 0,063W  BF 1005 (0402)","1005 (0402)","107K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"27788","15","L1, L2, L6, L7, L8, L10, L11, L12, L13, L17, L20, L24, L25, L28, L58","BLM15PX121SN1D","Ferritdurchführung BLM15PX121SN1D","1005 (0402)","120 Ohm","INDC1005X55N_V","03","P001","","SMT","","","","","2A","BLM15PX121SN1D"
"30910","6","L3, L5, L30, L52, L53, L54","MPZ0603S121HT000","Ferritbead MPZ0603S121HT000","0603 (0201)","120 Ohm","INDC0603X33N_V","03","P001","Yes","SMT","Yes","0.13 Ohm","25%","","1A","MPZ0603S121HT000"
"29113","4","R80, R83, R98, R133","124K","WID SMD 124K 1% 0,063W  BF 1005 (0402)","1005 (0402)","124K","RESC1005X40N_V","03","P001","","SMT","","TK100","1%","","0.063W",""
"22768","22","C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C466, C467, C608, C609, C610, C611, C612, C613, C614, C615, C620, C621","220nF","KON 220nF 16V X7R SMD BF 1005 (0402)","1005 (0402)","220n","CAPC1005X55N_V","03","P001","","SMT","","X7R","","","16V",""
"33834","1","L50","XGL3515-221MEC","Power Inductor 220nH 20% 16.4A 5.6mOhms","3.50 mm x 3.20 mm","220n","INDDFN320X350X150-2N","03","P001","","SMT","","","","","16.1A 5.6mOhms","XGL3515-221MEC"
