AN,Quantity,Designator,Name,Description,Case,Value,Footprint,Revision,Variant,Trenz-Stock,Mixed,Preferred,Technology,Tolerance,Trenz-Article-Number,Voltage,H-ART
28262,4,"D10, D11, D12, D13",LED Green 19-213/G6C-BM1N2/DT,Chip LED 0603 Briliant Green,1608 (0603),,LEDC1608X55N_GREEN,4,G1E13-A,,SMT,Yes,,,,,19-213/G6C-BM1N2/DT
25534,1,D14,"SMBJ20A, 20V, 600W","TVS Diode 20/32.4V 600W DO-214AA, SMB",SMB DO-214AA,600 W,DIOM5236X261N,4,G1E13-A,,SMT,,,,,20/32.4V,SMBJ20A
34483,1,D16,Chip LED Green,Chip LED Green,2012 (0805),,chipLED_0805_Green_sm_p,4,G1E13-A,,SMT,,,,,2.2 V,LG R971-KN-1-0-20-R18
33879,1,D17,BAS70-05W,"Schottky Diode Array 0,07A 70V dual SC70, SOT323",SC70-3 / SOT323,"0,07A",SOT65P210X110-3N,4,G1E13-A,,SMT,,,,,70V,BAS7005WH6327XTSA1
33857,1,F1,PTC 7 A 24 V,PTC Resettable Fuse 7 A 24 V SMD 2920,7351 (2920),7:00 AM,FUSC7351X250L140N,4,G1E13-A,,SMT,,,,,24 V DC,2920L700/24SL
32667,1,F2,PTC 5 A 24 V,PTC Resettable Fuse 5 A 24 V SMD 2920,7351 (2920),5:00 AM,FUSC7351X120L140N,4,G1E13-A,,SMT,,,,,24 V DC,2920L500/24SL
29745,10,"H1, H2, H6, H7, H8, H9, H15, H17, H22, H23",Steel Spacer M2 5mm SMD,9774050243R,,,9774050243,4,G1E13-A,,SMT,,,,,,9774050243R
27736,2,"J2, J12",USB 3.0 Type A Stacked,484060003,USB 3.0 A,,USB3.0 A Stacked,4,G1E13-A,,THT,,,,,,484060003
27341,1,J3,"ASP-184329-01, CC-HPC+-10",ASP-184329-01,,,ASP-184329-01,4,G1E13-A,,SMT,,,,,260 VAC,ASP-184329-01
33816,2,"J4, J28",857931006,857931006,RJ45,,857931006,4,G1E13-A,,THT,,,,,,857931006
34532,1,J5,USB 2.0 Type C,2171790001,USB 2.0 Type C,,2171790001,4,G1E13-A,,SMT,,,,,30 V AC/DC,2171790001
33670,1,J11,HDMI Connector,2086581001,HDMI,0.5 A DC,2086581001,4,G1E13-A,Yes,SMT,,,,,40 V DC,2086581001
24942,1,J13,Stiftleiste 4 Pol. 2.54mm,47053-1000,,,47053-1000,4,G1E13-A,Yes,THT,,,,,500 VAC,47053-1000
35499,2,"J14, J16",525592270,525592270,,,52559-2270,4,G1E13-A,,SMT,,,,,,525592270
33973,1,J15,ADF6-20-03.5-L-4-2-TR,ADF6-20-03.5-L-4-2-TR,ADF6,1.4 A per pin (4),ADF6-20-03.5-L-4-2,4,G1E13-A,,SMT,,,,,155 VAC,ADF6-20-03.5-L-4-2-TR
28983,1,J17,PMod 2x6 SMD Host Socket 90°,PMod 2x6 SMD Socket 90°,,,SMH-106-02-L-D-PMOD,1,G1E13-A,,SMT,,,,,,SMH-106-02-L-D-TR
22330,1,J18,Pin Header 2.54 1Row 2Pins,"Stiftleiste gerade 1-reihig 2-polig 11,3 mm Stiftlänge",,,JUMPER2_54-2,4,G1E13-A,Yes,THT,,,,,,HTSW-102-07-L-S
29747,2,"J19, J21",SS4-30-3.50-L-D-K-TR,SS4-30-3.50-L-D-K / REF-222269-01,SS4,,SS4-30-3_50-L-D,4,G1E13-A,,SMT,,,,,,REF-222269-01
28978,1,J20,CLT-106-02-F-D-A-K,CLT-106-02-F-D-A-K-TR   / REF-222271-01,,,CLT-106-02-F-D-A,4,G1E13-A,,SMT,,,,,,CLT-106-02-F-D-A-K-TR
32808,1,J24,472192001,472192001,microSD,0.5 A DC,47219-2001,4,G1E13-A,Yes,SMT,Yes,,,,100 V DC,472192001
24680,1,J27,PCIe 6 Pin,Mini-Fit JR Header PCIe 6 Pin Header 90°,,,45558-0003,4,G1E13-A,Yes,THT,,,,,,45558-0003
33899,1,J29,Power Jack 2.5 mm 90° SMD,"Power Jack, 2.5 mm 90° SMD",Power Jack,5:00 AM,PJ-002BH-SMT-TR,4,G1E13-A,Yes,SMT,,,,,24 V DC,PJ-002BH-SMT-TR
33744,2,"J30, J32",zSFP+ Connector,"170382-0001, zSFP+ Con",zSFP+,0.5 A,1703820002,4,G1E13-A,Yes,SMT,,,,,30 V AC(RMS)/DC,170382-0001
34093,1,KK2,ATS-61325W-C2-R0,Kühlkörper maxiGrip ATS-61325W-C2-R0,32.5mm x 32.5mm,,ATS-61325W-C2-R0,4,G1E13-A,,MECH,,BGA,,,,ATS-61325W-C2-R0
27788,16,"L1, L2, L7, L8, L10, L11, L13, L16, L19, L20, L24, L25, L28, L29, L55, L58",BLM15PX121SN1D,"Ferrite Bead 20 mOhm@DC, 120 Ohm@100 MHz, 2A 0402 (1005)",1005 (0402),120 Ohm,INDC1005X55N_V,4,G1E13-A,,SMT,,20 mOhm,25%,,2A,BLM15PX121SN1D
30910,10,"L3, L5, L6, L12, L22, L30, L52, L53, L54, L60",MPZ0603S121HT000,MPZ0603S121HT000,0603 (0201),120 Ohm,INDC0603X33N_V,4,G1E13-A,Yes,SMT,Yes,130 mOhm,25%,,1A,MPZ0603S121HT000
32621,20,"L4, L18, L23, L31, L33, L34, L35, L36, L37, L38, L39, L40, L42, L43, L44, L45, L46, L62, L63, L64",BLM18KG300TH1D,"Ferrite Bead 10 mOhm@DC, 30 Ohm@100 MHz, 5A 1608 (0603)",1608 (0603),30 Ohm,INDC1608X95N_V,4,G1E13-A,,SMT,,10 mOhm,25%,,5A,BLM18KG300TH1D
30395,2,"L9, L21",1.5µH,IND SMD 1.5µH 20% 19A 4.71mOhm (6.56mm x 6.36mm),6.56mm x 6.36mm ,1.5µH,INDDFN636X656X610-2N,4,G1E13-A,,SMT,,4.71mOhm,20%,,19A,XEL6060-152MEC
30632,4,"L14, L15, L26, L27",4.7µH,IND SMD 4.7µH 20% 1.7A 216mOhm BF 1008 (2520),2520(1008),4.7µH,INDC2520X100N,4,G1E13-A,,SMT,,216mOhm,20%,,1.7A,CIGW252010GL4R7MNE
26352,8,"MECH1, MECH3, MECH4, MECH8, MECH9, MECH10, MECH11, MECH12",Screw M2x6,Schraube M2 6mm,,,,4,G1E13-A,,MECH,,,,,,01.17.122
26365,1,MECH2,M.2 NGFF SMD-Abstandsbolzen - M3 - 1.5mm,M.2 NGFF SMD-Abstandsbolzen - M3 - 1.5mm,,,WA-SMSI,4,G1E13-A,,SMT,,,,,,9774015360
